レシートNo,年月日時分,年月日,年月,年,月,日,曜日,時間帯,時間,商品大分類,商品中分類,商品小分類,商品単価,商品数量,合計金額
558099,2011/6/26 13:45,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,13時台,13:45,乳卵類,牛乳,牛乳,211,16,3376
558100,2011/6/26 13:46,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,13時台,13:46,果物,果物加工品,果物加工品,994,1,994
558102,2011/6/26 14:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:06,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558102,2011/6/26 14:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:06,果物,生鮮果物,ぶどう,619,1,619
558102,2011/6/26 14:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:06,野菜・海藻,生鮮野菜,にんじん,181,2,362
558102,2011/6/26 14:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:06,果物,果物加工品,果物加工品,994,1,994
558102,2011/6/26 14:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:06,肉類,加工肉,ハム,244,2,488
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,魚介類,魚肉練製品,ちくわ,81,3,243
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,乾物・海藻,干しのり,53,1,53
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,乳卵類,乳製品,バター,469,1,469
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,生鮮野菜,にんじん,181,2,362
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,果物,生鮮果物,りんご,106,1,106
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,魚介類,生鮮魚介,いわし,406,1,406
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,乳卵類,乳製品,バター,469,3,1407
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
558105,2011/6/26 14:54,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,14時台,14:54,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558107,2011/6/26 15:09,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,15時台,15:09,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,5,1030
558111,2011/6/26 16:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,16時台,16:06,魚介類,生鮮魚介,かに,1244,1,1244
558111,2011/6/26 16:06,2011年-06月-26日,2011年-06月,2011年,06月,26日,7_日曜日,16時台,16:06,乳卵類,卵,卵,319,2,638
558113,2011/6/27 8:48,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:48,果物,生鮮果物,りんご,106,12,1272
558113,2011/6/27 8:48,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:48,乳卵類,卵,卵,319,12,3828
558113,2011/6/27 8:48,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:48,野菜・海藻,生鮮野菜,にんじん,181,12,2172
558113,2011/6/27 8:48,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:48,野菜・海藻,大豆加工品,豆腐,36,48,1728
558114,2011/6/27 8:49,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:49,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,6,1236
558115,2011/6/27 8:50,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:50,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
558115,2011/6/27 8:50,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,08時台,8:50,果物,生鮮果物,なし,156,10,1560
558121,2011/6/27 9:34,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,09時台,9:34,果物,生鮮果物,なし,156,12,1872
558121,2011/6/27 9:34,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,09時台,9:34,乳卵類,牛乳,牛乳,211,12,2532
558122,2011/6/27 9:35,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,09時台,9:35,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
558123,2011/6/27 10:16,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,10時台,10:16,果物,生鮮果物,なし,156,12,1872
558123,2011/6/27 10:16,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,10時台,10:16,野菜・海藻,生鮮野菜,にんじん,181,12,2172
558125,2011/6/27 10:20,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,10時台,10:20,魚介類,他の魚介加工品,魚介のつくだ煮,531,50,26550
558191,2011/6/27 12:16,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:16,果物,生鮮果物,ぶどう,619,2,1238
558191,2011/6/27 12:16,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:16,野菜・海藻,生鮮野菜,じゃがいも,263,3,789
558194,2011/6/27 12:28,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:28,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558195,2011/6/27 12:32,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:32,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,20,4120
558195,2011/6/27 12:32,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:32,魚介類,生鮮魚介,しじみ,260,10,2600
558195,2011/6/27 12:32,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:32,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,10,2060
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,魚介類,生鮮魚介,さしみ盛合わせ,1063,1,1063
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,果物,生鮮果物,りんご,106,2,212
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,魚介類,生鮮魚介,しじみ,260,2,520
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,野菜・海藻,生鮮野菜,トマト,281,1,281
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,果物,生鮮果物,ぶどう,619,8,4952
558196,2011/6/27 12:38,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:38,果物,生鮮果物,なし,156,6,936
558199,2011/6/27 12:58,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,12時台,12:58,魚介類,生鮮魚介,ぶり,744,1,744
558204,2011/6/27 13:58,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,13時台,13:58,果物,生鮮果物,ぶどう,619,3,1857
558204,2011/6/27 13:58,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,13時台,13:58,魚介類,塩干魚介,干しあじ,369,6,2214
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,果物,生鮮果物,なし,156,1,156
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,肉類,生鮮肉,鶏肉,781,1,781
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558232,2011/6/27 14:30,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:30,果物,生鮮果物,ぶどう,619,1,619
558235,2011/6/27 14:41,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,14時台,14:41,野菜・海藻,生鮮野菜,にんじん,181,1,181
558237,2011/6/27 15:04,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,15時台,15:04,果物,生鮮果物,なし,156,6,936
558237,2011/6/27 15:04,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,15時台,15:04,魚介類,魚肉練製品,ちくわ,81,8,648
558237,2011/6/27 15:04,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,15時台,15:04,果物,生鮮果物,バナナ,104,3,312
558237,2011/6/27 15:04,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,15時台,15:04,乳卵類,卵,卵,319,6,1914
558237,2011/6/27 15:04,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,15時台,15:04,野菜・海藻,乾物・海藻,干しのり,53,12,636
558247,2011/6/27 16:46,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,16時台,16:46,魚介類,他の魚介加工品,魚介のつくだ煮,531,5,2655
558247,2011/6/27 16:46,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,16時台,16:46,魚介類,他の魚介加工品,魚介のつくだ煮,531,2,1062
558248,2011/6/27 16:48,2011年-06月-27日,2011年-06月,2011年,06月,27日,1_月曜日,16時台,16:48,乳卵類,卵,卵,319,32,10208
558260,2011/6/28 8:38,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,08時台,8:38,魚介類,生鮮魚介,しじみ,260,10,2600
558260,2011/6/28 8:38,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,08時台,8:38,魚介類,生鮮魚介,しじみ,260,10,2600
558260,2011/6/28 8:38,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,08時台,8:38,魚介類,生鮮魚介,しじみ,260,10,2600
558262,2011/6/28 8:45,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,08時台,8:45,野菜・海藻,生鮮野菜,じゃがいも,263,60,15780
558263,2011/6/28 8:50,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,08時台,8:50,魚介類,生鮮魚介,さけ,519,32,16608
558264,2011/6/28 9:10,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,09時台,9:10,魚介類,塩干魚介,干しあじ,369,8,2952
558265,2011/6/28 10:06,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:06,乳卵類,卵,卵,319,24,7656
558293,2011/6/28 10:31,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:31,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,10,2060
558293,2011/6/28 10:31,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:31,野菜・海藻,大豆加工品,豆腐,36,48,1728
558293,2011/6/28 10:31,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:31,野菜・海藻,他の野菜・海藻加工品,こんにゃく,119,12,1428
558294,2011/6/28 10:37,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:37,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
558295,2011/6/28 10:38,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:38,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
558295,2011/6/28 10:38,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,10時台,10:38,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,果物,生鮮果物,なし,156,40,6240
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,野菜・海藻,生鮮野菜,じゃがいも,263,36,9468
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,魚介類,生鮮魚介,いか,231,80,18480
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,魚介類,生鮮魚介,さば,424,24,10176
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,魚介類,生鮮魚介,さば,424,24,10176
558311,2011/6/28 11:22,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:22,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,80,16480
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,乳卵類,卵,卵,319,6,1914
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,魚介類,塩干魚介,干しあじ,369,6,2214
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,魚介類,生鮮魚介,かに,1244,2,2488
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,魚介類,生鮮魚介,さけ,519,6,3114
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,乳卵類,卵,卵,319,12,3828
558315,2011/6/28 11:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,11時台,11:44,果物,生鮮果物,りんご,106,12,1272
558328,2011/6/28 12:09,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:09,野菜・海藻,乾物・海藻,干しのり,53,25,1325
558328,2011/6/28 12:09,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:09,野菜・海藻,生鮮野菜,にんじん,181,12,2172
558330,2011/6/28 12:16,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:16,果物,生鮮果物,りんご,106,10,1060
558330,2011/6/28 12:16,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:16,魚介類,塩干魚介,干しあじ,369,1,369
558330,2011/6/28 12:16,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:16,果物,生鮮果物,りんご,106,25,2650
558330,2011/6/28 12:16,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:16,乳卵類,乳製品,バター,469,1,469
558330,2011/6/28 12:16,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,12時台,12:16,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
558338,2011/6/28 13:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,13時台,13:36,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
558339,2011/6/28 13:55,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,13時台,13:55,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,6,1236
558341,2011/6/28 14:20,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:20,野菜・海藻,生鮮野菜,じゃがいも,263,6,1578
558348,2011/6/28 14:50,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:50,野菜・海藻,乾物・海藻,干しのり,53,12,636
558348,2011/6/28 14:50,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:50,野菜・海藻,乾物・海藻,干しのり,53,12,636
558355,2011/6/28 14:58,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:58,果物,生鮮果物,ぶどう,619,1,619
558355,2011/6/28 14:58,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:58,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558355,2011/6/28 14:58,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:58,肉類,加工肉,ハム,244,1,244
558355,2011/6/28 14:58,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:58,果物,生鮮果物,なし,156,1,156
558355,2011/6/28 14:58,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,14時台,14:58,魚介類,生鮮魚介,さしみ盛合わせ,1063,2,2126
558358,2011/6/28 15:05,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:05,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558358,2011/6/28 15:05,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:05,野菜・海藻,乾物・海藻,干しのり,53,12,636
558365,2011/6/28 15:28,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:28,肉類,生鮮肉,鶏肉,781,40,31240
558367,2011/6/28 15:31,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:31,魚介類,生鮮魚介,かき(貝),719,3,2157
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,野菜・海藻,生鮮野菜,じゃがいも,263,6,1578
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,果物,生鮮果物,ぶどう,619,4,2476
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,10,2060
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,10,2060
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,果物,生鮮果物,なし,156,8,1248
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,野菜・海藻,乾物・海藻,干しのり,53,20,1060
558368,2011/6/28 15:36,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:36,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,6,1236
558370,2011/6/28 15:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:44,野菜・海藻,乾物・海藻,干しのり,53,24,1272
558370,2011/6/28 15:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:44,乳卵類,卵,卵,319,2,638
558370,2011/6/28 15:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:44,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
558370,2011/6/28 15:44,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:44,野菜・海藻,乾物・海藻,干しのり,53,24,1272
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,肉類,加工肉,他の加工肉,988,2,1976
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,魚介類,塩干魚介,干しあじ,369,2,738
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,魚介類,塩干魚介,干しあじ,369,2,738
558372,2011/6/28 15:47,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,15時台,15:47,魚介類,生鮮魚介,しじみ,260,3,780
558375,2011/6/28 16:02,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,16時台,16:02,乳卵類,乳製品,バター,469,12,5628
558375,2011/6/28 16:02,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,16時台,16:02,魚介類,生鮮魚介,しじみ,260,6,1560
558376,2011/6/28 16:03,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,16時台,16:03,果物,生鮮果物,りんご,106,16,1696
558382,2011/6/28 17:28,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,17時台,17:28,野菜・海藻,乾物・海藻,干しのり,53,25,1325
558382,2011/6/28 17:28,2011年-06月-28日,2011年-06月,2011年,06月,28日,2_火曜日,17時台,17:28,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,24,4944
558384,2011/6/29 9:09,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,09時台,9:09,肉類,生鮮肉,他の生鮮肉,844,6,5064
558386,2011/6/29 9:32,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,09時台,9:32,野菜・海藻,生鮮野菜,さやまめ,24,24,576
558386,2011/6/29 9:32,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,09時台,9:32,果物,生鮮果物,かき(果物),49,24,1176
558389,2011/6/29 10:18,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,10時台,10:18,果物,生鮮果物,りんご,106,8,848
558390,2011/6/29 10:23,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,10時台,10:23,果物,生鮮果物,りんご,106,50,5300
558416,2011/6/29 10:50,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,10時台,10:50,果物,生鮮果物,ぶどう,619,1,619
558416,2011/6/29 10:50,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,10時台,10:50,魚介類,生鮮魚介,ぶり,744,2,1488
558418,2011/6/29 11:35,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,11時台,11:35,果物,生鮮果物,りんご,106,48,5088
558419,2011/6/29 11:41,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,11時台,11:41,魚介類,生鮮魚介,しじみ,260,10,2600
558420,2011/6/29 11:46,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,11時台,11:46,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,4,824
558420,2011/6/29 11:46,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,11時台,11:46,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,4,824
558430,2011/6/29 12:12,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,12時台,12:12,魚介類,生鮮魚介,しじみ,260,10,2600
558430,2011/6/29 12:12,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,12時台,12:12,魚介類,生鮮魚介,しじみ,260,10,2600
558435,2011/6/29 12:37,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,12時台,12:37,魚介類,生鮮魚介,いか,231,48,11088
558437,2011/6/29 12:46,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,12時台,12:46,果物,生鮮果物,なし,156,4,624
558441,2011/6/29 12:59,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,12時台,12:59,魚介類,生鮮魚介,しじみ,260,1,260
558442,2011/6/29 13:10,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:10,果物,生鮮果物,ぶどう,619,1,619
558443,2011/6/29 13:20,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:20,野菜・海藻,生鮮野菜,他の根菜,681,24,16344
558443,2011/6/29 13:20,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:20,乳卵類,卵,卵,319,24,7656
558452,2011/6/29 13:51,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:51,果物,生鮮果物,なし,156,16,2496
558454,2011/6/29 13:58,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:58,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,10,2060
558454,2011/6/29 13:58,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:58,肉類,加工肉,ハム,244,8,1952
558454,2011/6/29 13:58,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:58,魚介類,生鮮魚介,しじみ,260,10,2600
558454,2011/6/29 13:58,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:58,魚介類,生鮮魚介,さけ,519,8,4152
558456,2011/6/29 13:59,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,13時台,13:59,肉類,生鮮肉,鶏肉,781,4,3124
558459,2011/6/29 14:20,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,14時台,14:20,果物,生鮮果物,りんご,106,3,318
558460,2011/6/29 14:53,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,14時台,14:53,野菜・海藻,乾物・海藻,干しのり,53,24,1272
558460,2011/6/29 14:53,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,14時台,14:53,乳卵類,卵,卵,319,6,1914
558460,2011/6/29 14:53,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,14時台,14:53,果物,生鮮果物,バナナ,104,12,1248
558461,2011/6/29 15:03,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,15時台,15:03,魚介類,魚肉練製品,ちくわ,81,1,81
558461,2011/6/29 15:03,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,15時台,15:03,魚介類,塩干魚介,干しあじ,369,1,369
558461,2011/6/29 15:03,2011年-06月-29日,2011年-06月,2011年,06月,29日,3_水曜日,15時台,15:03,野菜・海藻,乾物・海藻,他の乾物・海藻,69,2,138
